Rang	Ort	Kanton	Steuersatz
352	Massagno	TI	12.13
353	Morcote	TI	12.13
354	Ponte Capriasca	TI	12.13
355	Rovio	TI	12.13
356	Tägerwilen	TG	12.13
357	Uttwil	TG	12.13
358	Vernate	TI	12.13
359	Islisberg	AG	12.14
360	Staufen	AG	12.14
361	Kammersrohr	SO	12.16
362	Maienfeld	GR	12.16
363	Bellikon	AG	12.19
364	Berikon	AG	12.19
365	Zufikon	AG	12.19
366	Honau	LU	12.20
367	Balgach	SG	12.21
368	Rossa	GR	12.22
369	Biberstein	AG	12.25
370	Birrwil	AG	12.25
371	Agno	TI	12.26
372	Gordola	TI	12.26
373	Gachnang	TG	12.27
374	Geltwil	AG	12.30
375	Rudolfstetten-Friedlisberg	AG	12.30
376	Canobbio	TI	12.33
377	Glarus Süd	GL	12.33
378	Calanca	GR	12.35
379	Fläsch	GR	12.35
380	Malans	GR	12.35
381	Vaz/Obervaz	GR	12.35
382	Bussnang	TG	12.36
383	Gottlieben	TG	12.36
384	Kreuzlingen	TG	12.41
385	Rüdlingen	SH	12.41
386	Baden	AG	12.42
387	Dintikon	AG	12.42
388	Magden	AG	12.42
389	Olsberg	AG	12.42
390	Remetschwil	AG	12.42
391	Triengen	LU	12.42
392	Würenlingen	AG	12.42
393	Bedano	TI	12.47
394	Camorino	TI	12.47
395	Caslano	TI	12.47
396	Gambarogno	TI	12.47
397	Maroggia	TI	12.47
398	Melano	TI	12.47
399	Muralto	TI	12.47
400	Pianezzo	TI	12.47
401	Riva San Vitale	TI	12.47
402	Rupperswil	AG	12.47
403	Torricella-Taverne	TI	12.47
404	Wettingen	AG	12.47
405	Pontresina	GR	12.48
406	Aarau	AG	12.53
407	Auenstein	AG	12.53
408	Leibstadt	AG	12.53
409	Lupfig	AG	12.53
410	Niederrohrdorf	AG	12.53
411	Stein (AG)	AG	12.53
412	Mammern	TG	12.54
413	Walzenhausen	AR	12.55
414	Luzern	LU	12.57
415	Mesocco	GR	12.57
416	Schlierbach	LU	12.57
417	Attelwil	AG	12.58
418	Erlinsbach (AG)	AG	12.58
419	Möriken-Wildegg	AG	12.58
420	Eschenz	TG	12.59
421	Chiasso	TI	12.60
422	Monte Carasso	TI	12.60
423	Zernez	GR	12.60
424	Tübach	SG	12.61
425	Altishofen	LU	12.64
426	Ammerswil	AG	12.64
427	Boswil	AG	12.64
428	Bremgarten (AG)	AG	12.64
429	Büttikon	AG	12.64
430	Dottikon	AG	12.64
431	Hausen (AG)	AG	12.64
432	Holderbank (AG)	AG	12.64
433	Jonen	AG	12.64
434	Dörflingen	SH	12.66
435	Schötz	LU	12.66
436	Balerna	TI	12.67
437	Bonaduz	GR	12.67
438	Brusio	GR	12.67
439	Valsot	GR	12.67
440	Birmenstorf (AG)	AG	12.69
441	Buchs (AG)	AG	12.69
